PM2.5 (ug/m3),NO (mg/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),Ozone (ug/m3),Air_Quality_Index(AQI),AQI Category,Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),T,TM,Tm,SLP,H,VV,V,VM
184.41,122.34,69.1,134.61,17.51,35.84,349,4,25.22,103.22,16.24,61.35,0.22,163.89,70.66,15.6,25.4,6.3,1017.1,67,1.3,0.4,3.5
159.86,23.52,74.43,58.36,11.2,29.36,330,4,13.46,43.84,17.36,57.01,0.43,122.23,43.82,15.6,26.2,6.7,1016.4,73,1,1.9,9.4
98.57,9.15,34.51,25.62,10.89,21.94,224,3,4.3,14.37,19.07,63.57,0.81,126.02,90.61,17.5,25.3,10.4,1016.7,78,0.5,3.3,5.4
60.3,6.55,28.65,20.42,10.03,24.99,100,1,1.59,7.78,18.31,61.59,0.8,314.65,101,18.6,25,10.4,1019.2,72,1.6,4.8,9.4
68.33,8.74,34.85,25.49,9.43,30.18,124,2,2.24,8.3,17.74,58.69,0.68,276.83,100.39,18.4,26.8,10.2,1020.5,69,2.1,5.9,14.8
58.92,30.42,43.98,47.71,10.14,27.94,96,1,4.11,14.58,16.29,56.43,0.38,229.52,97.01,16.5,27,10.1,1019.1,71,1.9,5.4,13
75.65,63.81,51.09,78.21,12.56,24.42,148,2,6.65,27.08,16.13,63.22,0.34,214.32,89.17,16.1,26.4,7,1018,67,2.6,2.6,7.6
133.66,82.71,57.31,96.62,16.3,23.01,310,4,8.6,33.6,16.48,67.6,0.34,209.64,84.23,15.7,26.4,6.9,1017.1,74,1.3,3.5,11.1
132.77,72.55,53.04,86.25,14.06,21.76,309,4,9.54,51.23,17.02,64.74,0.44,220.64,88.21,17.1,26.8,8.1,1017.4,74,1,1.3,7.6
94.15,33.58,43.05,49.75,10.01,26.96,211,3,4.56,14.27,16.97,64.29,0.33,205.99,86.19,16.7,27.2,8.2,1014.8,77,1.4,3.1,9.4
140.7,83.15,39.86,87.7,13.29,34.28,315,4,8.96,30.31,17.69,70.92,0.27,162.53,84.54,16.7,27,8.2,1014.4,78,1,2.6,7.6
113.26,5.99,42.3,27.22,8.99,39.98,276,3,3.64,9.52,19.47,63.92,0.67,132.02,80.94,17.3,27.6,8,1012.6,78,1.1,1.5,7.6
80.82,12.05,41.84,31.87,9.7,32.06,165,2,3.72,10.88,19.78,68.34,0.4,179.41,79.4,18,28.8,11,1013.2,81,1,3,5.4
86.86,17.95,39.87,35.53,9.57,20.57,186,2,5.44,17.09,18.3,76.34,0.48,271.9,69.76,18.3,28,11.4,1015.5,81,1,2.4,9.4
69.12,48.78,33.69,56.94,9.84,29.65,128,2,6.3,20.93,18.18,76.08,0.27,151.73,82.74,18.3,28.2,12,1016.9,84,0.5,3.1,9.4
67.92,77.83,39.74,83.39,13.61,22.81,121,2,7.59,33.04,18.22,71.21,0.28,196.4,82.67,17.7,27.2,9.5,1016.9,78,1,0.9,3.5
55.35,31.36,34.34,43.32,12.35,20.1,91,1,3.93,25.91,18.98,65.91,0.39,198.29,80.5,18.2,28.6,9.6,1014.7,74,1.4,1.1,9.4
52.49,20.67,45.47,40.71,9.38,15.55,86,1,3.03,15.68,18.79,71.48,0.35,172.78,52.04,18.3,29,10.9,1015,75,1.4,1.9,7.6
69.86,9.12,36.16,26.5,8.57,13.42,128,2,0.56,2.21,17.97,78.69,0.62,197.81,56.42,18.2,28.3,11.3,1014.4,81,1.3,1.5,7.6
88.18,11.55,22.41,21.15,8.04,20.93,193,2,3.8,11.12,14.98,86.97,0.84,283.32,79.62,16.8,25.8,12.2,1015.5,91,0.5,3.7,7.6
51.37,5.08,17.86,13.54,7.73,31.09,85,1,2.54,6.66,12.8,77.74,1.02,278.45,93.66,14.4,21.8,10,1015.8,83,1.3,5,11.1
52.84,5.54,20.31,15.2,9.41,27.46,86,1,1.14,2.8,11.67,78.83,0.88,235.79,82.29,10.6,20.6,8,1018.3,87,1.3,2.6,7.6
56.31,8.19,27.4,21.14,9.15,20.05,93,1,1.12,4.27,11.48,79.69,0.76,315.87,73.85,10.9,19.4,4.1,1020,85,1.1,4.4,9.4
84.65,5.85,21.51,16.08,9.31,21.51,179,2,0.93,2.57,9.22,78.34,1.16,315.79,80.67,11.9,18.5,5.8,1021.5,81,1.4,7.4,11.1
79.18,9.47,31.33,24.2,9.03,22.53,162,2,1.24,3.45,11.16,59.22,0.79,292.33,92.99,9,18.6,4.6,1020,81,1.1,9.1,16.5
111.55,29.83,39.22,44.64,11.59,19.76,269,3,1.69,5.29,12.94,59.93,0.43,238.93,80.48,14.1,22,3.9,1019.4,59,1.8,8.7,16.5
92.28,32.43,42.72,48.66,10.84,21.22,204,3,1.91,5.58,13.59,61.45,0.38,224,78.18,12.9,21.8,3.4,1019.5,70,1.3,5.4,14.8
160.59,101.97,42.44,104.15,13.54,21.81,330,4,4.09,16.63,13.24,74.02,0.36,205.37,78.14,13.9,23.2,5.5,1017.2,69,1,4.1,13
166.32,126.29,47.55,126.32,17.3,14.02,335,4,7.83,31.47,13.09,77.34,0.3,203.1,72.85,13.9,25.3,5.3,1016.2,71,0.8,3,13
162.18,112.1,38.54,110.18,15.11,23.98,332,4,11.77,45.35,12.88,80.23,0.36,190.62,75.17,12.8,23.9,4,1015.6,78,0.5,1.1,5.4
134.23,83.57,35.4,85.67,13.58,19.23,310,4,7.2,29.52,13.19,73.01,0.45,216.59,82.75,14.4,23.3,4.5,1016.3,70,0.6,3.3,7.6
101.09,41.93,37.41,53.41,10.19,18.02,235,3,4.42,23,12.67,70.49,0.42,225.6,84.06,13,23.1,4.6,1017,74,1.1,3.5,9.4
148.84,58.21,38.23,66.87,13.68,26.93,321,4,9.89,43.04,13.86,71.07,0.7,152.25,75.93,13.3,22.4,4.4,1016.5,72,1.1,5.2,9.4
107.55,3.65,24.82,15.51,11.75,26.93,255,3,1.22,3.76,13.98,45.3,0.95,240.88,88.88,15,21.9,6,1013.5,68,1,5.4,11.1
112.71,8.72,34.71,25.42,10.1,27.78,272,3,2.12,8.95,11.56,58.08,0.82,305.59,84.69,11.8,22.6,5.6,1017.4,60,1.4,4.3,14.8
95.83,6.37,26.3,17.28,8.1,17.77,214,3,2.44,7.43,9.75,79.68,0.84,319.11,73.76,10.8,20.9,3.6,1018.2,73,1.4,5.7,14.8
101.59,6.21,37.64,15.21,9.52,17.43,235,3,3.07,7.26,9.06,88.81,0.54,257.15,61.03,9.1,18.1,3.5,1019.8,88,0.8,5.6,11.1
182.59,18.18,43.43,37.64,10.94,19.35,347,4,7.94,19.93,9.85,83.41,0.34,146.36,59.79,10.7,17,3.3,1018.7,82,0.5,4.8,9.4
151.79,10.17,32.95,25.65,10.25,14.05,324,4,5.18,13.96,13.15,69.52,0.63,128.77,36.66,10.4,18.4,1.1,1018.1,83,0.3,2.6,11.1
90.57,3.07,13.51,9.47,9.77,14.79,200,2,2.82,8.05,14.38,76.28,0.9,127.67,31.69,12.4,19.2,7,1016.4,89,0.8,5,7.6
56.22,7.83,47.18,28.1,12.41,10.83,93,1,2.11,10.59,16.03,92.49,0.55,127.77,53.3,13.3,19.5,9.9,1014.7,99,0.8,7.2,11.1
44.48,6.17,71.55,46,10.14,17.51,88,1,1.97,9.52,16.7,92.09,0.97,111.36,36.91,16.8,22.4,11.4,1016.3,96,0.6,4.6,14.8
68.45,12.96,26.33,27.37,11.32,18.24,124,2,4.47,17.63,16.42,93.67,0.43,170.11,29.42,17.7,22.6,13.2,1014.9,92,1.6,4.4,9.4
75.67,6.29,24.38,20.36,9.38,17.1,148,2,0.9,5.67,16.21,89.26,0.82,310.96,57.47,17.1,20.8,13,1015.1,96,0.5,7.8,13
60.65,12.34,15.33,18.03,10.18,16.42,100,1,1.24,9.43,12.98,92.12,0.49,197.75,34.07,15.5,21.3,11.2,1014.6,88,0.6,4.1,9.4
82.83,17.13,18.72,23.66,10.48,22.86,172,2,1.97,11.22,14.57,87.96,0.73,322.55,58.11,13.6,19.9,9.6,1015.1,91,0.5,2,9.4
72.96,10.45,14.51,16.08,9.6,15.86,138,2,0.81,5.65,11.77,83.54,1.22,319.81,90.3,15.4,19.6,10.8,1015.3,87,0.5,7.4,11.1
79.8,11.86,15.12,17.53,9.27,23.35,162,2,1.23,4.91,10.97,84.45,0.99,311.12,93.45,11.7,19.7,7.8,1016.6,83,0.8,7.4,13
84.83,12.38,14.55,17.64,12.03,17.42,179,2,2.18,5.48,10.18,86.21,0.6,262.9,70.49,11.9,17,7,1016.9,84,1,7.4,14.8
206.98,78.45,44.38,86.36,14.89,19.58,366,4,14.98,65.03,10.61,86.37,0.42,145.46,78.34,9.7,17.6,3.2,1016.2,84,0.5,2.8,11.1
213.19,50.42,37.13,60.09,11.98,23.28,371,4,14.7,63.61,12.83,84.26,0.27,165.64,67.93,12.2,19,2,1016.4,82,0.3,2.2,9.4
159.93,35.15,23.34,40.53,16.02,16.76,330,4,13.14,54.8,11.11,90.17,0.46,253.91,77.46,11.9,20,6.4,1014.3,88,0.3,2,7.6
101.74,10.3,13.63,15.49,9.64,18.45,235,3,4.3,11.54,10.25,89.2,0.91,161.28,83.96,11.5,20.8,6.6,1013.2,85,0.3,4.3,9.4
109.14,6.53,11.69,11.34,13.91,20.83,262,3,2.85,4.88,13.37,82.04,0.89,128.89,52.82,11.2,19.1,5.7,1016.6,89,0.3,8.5,21.7
175.12,71.21,13.46,64.13,15.82,14.43,342,4,15.15,64.73,12.28,92.94,0.49,229.65,69.56,14.9,19.4,9,1016.4,83,0.6,4.3,9.4
68.52,7.41,4.1,8.04,10.91,18.26,124,2,2.3,3.52,11.97,90.28,0.99,293.76,83.31,13.4,20.2,6.9,1013.7,87,0.3,10.9,16.5
81.31,8.84,7.68,11.12,11.87,21.86,169,2,2.7,4.48,13.33,76.77,0.82,281.02,107.98,13.1,20.4,7.8,1014.3,84,0.6,10.9,16.5
122.43,47.25,11.86,44.11,12.98,18.9,301,4,7.29,25.98,11.95,83.19,0.61,141.96,94.48,13.9,22.8,7.4,1013.5,73,1.1,6.5,18.3
83.23,9.46,5.81,10.57,11.75,18.84,176,2,2.83,7.14,12.61,82.57,1.18,146.39,93.35,12.1,22.8,4.2,1014.6,86,0.5,5.9,11.1
105.34,15.5,5.84,15.5,11.36,14.46,248,3,3.82,10.2,12.72,90.36,0.65,268.76,30.91,13.8,20,8,1013,83,0.8,7,13
90.15,8.3,7.47,10.16,10.45,15.07,200,2,2.02,5.52,11.61,82.39,0.89,289.63,80.95,11.3,20.4,8.2,1016.9,95,0.2,5.7,13
92.9,26.08,12.39,27.45,11.31,18.3,204,3,3.45,9.82,11.84,79.78,0.51,224.53,100.82,11.8,17.4,7.4,1018.4,84,0.5,3,7.6
102.38,17.9,15.27,22.45,11.47,18.85,238,3,3.3,8.28,12.46,71.71,0.57,235.1,106.55,12.3,20.2,2.1,1017.8,76,1.3,3,14.8
106.84,19.03,22.56,27.22,12.17,17.11,252,3,3.87,17.1,12.5,68.15,0.4,187.16,97.79,12.1,20.8,5.4,1017.2,75,1.3,5.4,11.1
122.01,46.48,32.38,54.42,13.18,22.48,301,4,4.97,21.97,12.04,74.51,0.64,235.65,100.19,11.4,21.5,3.8,1018.2,82,1.1,1.3,5.4
91.42,9.35,31.9,24.44,11.55,22.67,201,3,2.43,11.66,12.88,64.39,0.69,259.67,106.58,11.7,20.4,4,1018.7,77,0.8,5.4,9.4
92.23,35.69,31.32,45.21,13.35,23.33,204,3,3.17,10.45,12.96,64.2,0.33,206.82,112.91,13.3,21.2,5.4,1016.8,71,1.6,6.7,18.3
116.5,48.68,39.22,59.81,12.29,22.72,286,3,6.76,25.29,15.8,63.08,0.36,213.34,108.02,12.3,23.8,3.1,1017.9,70,1.3,3.1,9.4
122.66,37.67,36.29,49.44,14.48,24.44,301,4,6.19,35.61,16.05,68.3,0.35,186.93,102.35,15.3,26.2,5.3,1019,71,1.3,1.5,11.1
95.37,9.14,38.06,27.55,12.29,28.75,214,3,2.94,11.65,18.75,59.02,0.96,141.63,94.63,16.5,26.6,6.2,1016.8,70,0.8,1.9,7.6
87.33,5.5,34.2,22.59,11.01,17.27,189,2,2.87,10.54,17.68,71.69,1.12,95.41,67.67,20.2,28.1,10.4,1016.2,68,1.6,7.4,14.8
52.19,11.74,27.94,24.24,5.04,17.72,86,1,1.64,10.94,14.44,76.77,0.7,210.39,110.6,15.9,26.1,10.4,1016.5,88,1,6.7,14.8
58.91,13.72,27.65,25.71,5.54,19.72,96,1,1.12,6.03,14.77,73.27,0.88,288.61,117.14,14.6,23.2,6.8,1017.8,81,1.4,2.8,7.6
63.32,8.6,31.9,23.84,4.32,17.52,107,2,1.38,6.12,15.4,70.97,0.79,295.56,112.13,14.2,23,7.4,1018,82,1.4,4.6,13
77.35,37.56,27.71,45.7,7.21,18.09,155,2,2,8.36,15.42,77.34,0.44,220.22,113.29,16.5,23,8.3,1018.6,74,1.6,7.4,20.6
97.37,49.17,30.9,56.16,5.93,17.25,221,3,2.8,12.2,16.25,76.56,0.39,207.25,107.79,16.1,24.2,7.6,1016.8,78,1.1,4.4,11.1
90.45,51.88,40.83,63.21,6.68,20.02,200,2,3.85,21.98,18.69,64.51,0.44,195.63,115.26,15.3,25.2,7.8,1014.3,83,1.3,2,7.6
107.6,25.74,39.78,41.74,7.98,17.59,255,3,3.02,16.58,17.79,73.97,0.51,241.15,103.11,21.7,29.4,10.2,1012.3,58,2.3,4.1,13
109.66,44.66,38.63,56.27,7.72,24.43,262,3,3.06,18.17,19.58,65.81,0.37,166.2,110.2,20,28,8.6,1014,67,1.6,1.7,9.4
103.97,9.62,45.1,31.67,7.19,29.23,241,3,2.45,11.44,21.16,55.28,0.58,88.59,100.85,20.6,29.2,9.9,1011.8,70,1.9,2.4,13
106.08,28,36.93,42.04,7.07,30.56,252,3,1.31,7.69,19.25,67.7,0.49,236.87,108.82,21.2,29.5,11.6,1012.6,69,1.1,2.4,7.6
110.2,57.36,41.56,67.94,8.31,21.83,265,3,3.12,15.61,19.11,65.33,0.4,192.66,111.55,20.1,29.4,10.7,1014.6,69,1.8,1.7,9.4
82.72,19.37,35.73,34.5,8.09,21.15,172,2,1.89,14.63,17.81,76.25,0.54,226.7,101.19,20,28,9.6,1017.6,70,1.4,0.7,7.6
90.78,28.01,33.56,40.25,7.42,19.98,200,2,0.73,4.19,19.59,63.24,0.63,237.02,119.22,16.9,26,11.6,1016.3,85,1.6,2.2,11.1
75.98,37.54,35.02,48.66,8.29,23.11,148,2,0.7,6.1,21.07,55.17,0.45,210.71,123.97,21.5,29,11,1014.6,66,2.6,8.5,22.2
92.32,89.29,36.97,91.09,9.57,22.97,204,3,1.44,13.43,21.51,56.32,0.43,211.74,126.93,22.8,31.2,10.7,1012.2,60,2.7,4.8,13
91.18,60.72,34.33,66.84,9.89,19.63,201,3,3.18,20.09,22.33,59.3,0.61,217.01,125.71,23.3,32.2,12,1010.4,61,2.4,5.9,14.8
70.15,14.17,31.64,28.17,12.25,17.24,131,2,0.13,4.65,23.37,56.43,0.71,260.81,131.17,24.3,33,13.4,1008.8,63,2.7,7.8,16.5
75.23,28.23,25.68,36.25,9.24,24.76,148,2,0.51,4.95,24.58,46.48,0.84,227.18,132.28,25.3,33.2,15.2,1006,63,3.2,10.9,22.2
91.67,20,33.27,33.7,13.46,32.71,201,3,2.23,15.51,23.78,42.59,0.71,207.17,125.33,25.4,33,17.8,1007.6,59,3.4,8.7,18.3
64.2,6.99,27.71,20.33,11.13,26.47,111,2,0,2.05,21.49,45.39,1.14,255.38,140.36,24.8,32,15.6,1011,54,3.7,5.9,14.8
64.63,4.54,26.55,17.75,9.65,31.47,111,2,0,2.01,21.09,44.56,1.46,312.47,143.2,22.5,32.3,11.8,1014.6,59,4,8.5,18.3
60.08,8.35,30,22.63,13.58,30.23,100,1,0,2.64,21.44,42.9,0.9,278.38,141.82,23.6,29,15.3,1013.2,55,3.5,12.8,25.9
101.97,113.07,46.61,115.25,13.33,24.96,235,3,9.49,41.01,22.98,46.19,0.41,191.78,135,23,31,13.2,1012.3,57,3.2,8.9,14.8
87.69,23.76,39.12,39.81,10.58,25.03,189,2,2.55,22.52,23.01,49.76,1,265.33,141.56,24.8,34,12.2,1011.6,55,2.9,3.7,11.1
61.67,7.19,31.28,22.31,13.26,25.34,101,2,0,3.39,22.71,50.06,0.95,280.58,139.01,25.3,33.9,14.4,1010.7,56,3.5,11.1,16.5
92.21,62.13,43.17,72.67,13.74,29.65,204,3,4.04,22.62,24.6,43.25,0.72,137.1,131.06,24.2,31.6,15,1009.2,58,2.7,8.3,16.5
75.76,4.96,30.44,20.15,8.18,37.36,148,2,0,1.57,25.56,48.91,1.3,124.85,116.03,27.2,34,14.4,1009.2,58,2.9,7.8,13
92.68,6.99,33.67,23.5,7.44,29.19,204,3,0.16,3.87,26.21,56.39,0.85,125.85,114.66,26,34,18.9,1010.4,68,2.3,7.6,13
82.91,8.16,26.13,20.43,7.24,26.77,172,2,0.51,2.26,25.6,47.11,0.94,225.82,135.78,27.5,34,18.8,1011.2,66,2.6,7.2,11.1
106.71,20.82,30.65,32.96,10.02,14.58,252,3,0.22,7.88,26.23,52.87,0.64,179.63,138.67,26.2,34.2,18.2,1011.4,63,3.2,1.9,7.6
66.46,12.73,33.6,28.05,6.65,10.74,118,2,0.07,3.27,25.14,39.09,1.12,134.91,82.65,27.1,35,17.2,1012.5,60,2.7,4.6,14.8
74.63,26.01,25.21,34.21,11.02,15.21,145,2,0.44,9.86,23.79,50.98,0.99,258.1,138.48,25,35.2,17.9,1013.9,61,2.7,9.6,16.5
70.88,16.37,27.22,27.57,9.55,13.75,131,2,0,5.82,23.97,51.03,0.81,284.27,150.34,25,31,15.2,1014.9,59,3.2,4.3,9.4
67.72,9.82,23.46,20.34,11.14,15.66,121,2,0,0.66,24.56,51.64,0.94,212.72,125.14,24.6,31.2,14,1012,59,2.7,6.7,18.3
141.76,13.18,29.13,25.98,17.5,11.23,316,4,0,3.31,24.63,54.27,0.93,303.94,121.55,25.7,32,16.2,1011.4,57,3.4,8.5,18.3
220.03,15.47,30.24,28.46,11.89,8.62,376,4,0,3.87,25.86,47.88,0.8,258.01,128.6,26.2,32,17.2,1011.2,58,1.6,8,14.8
215.22,22.73,29.53,33.89,13.74,23.41,373,4,0,6.77,26.09,45.6,0.5,216.92,117.39,26.4,34,16.8,1009,54,2.4,5.9,13
186.27,16.78,29.62,29.17,11.29,27.46,350,4,0.25,4.97,26.89,43.2,0.82,205.28,129.56,25.3,34.2,16.4,1010.2,59,1.9,4.4,11.1
149.35,13.82,29.15,26.56,12.43,15.5,322,4,0,1.76,25.41,45.88,0.94,282.09,147.99,26.1,35.3,19.2,1009.5,52,2.6,3.9,13
176,40.03,30.63,48.31,10.85,18.73,343,4,0.61,9.06,26.29,46.86,0.69,172.44,142.68,24.3,34.5,16.8,1007.7,58,2.3,5.4,18.3
109.82,6.43,27.39,19.71,9.36,24.61,262,3,0,2.85,26.45,42.33,1.39,118.54,102.99,26.8,35,16.2,1007.6,52,3.1,3,9.4
108.36,11.23,33.56,26.83,8,17.82,259,3,0.16,6.61,25.03,45.18,1.44,159.84,83.62,26.7,35.2,20,1011.7,53,2.6,5.7,13
78.38,15.1,30.27,28.17,10.58,21.14,159,2,0.08,2.7,24.29,42.85,0.81,225.59,143.55,25.2,33.6,19.6,1012.2,51,2.7,10,24.1
66.33,7.22,23.89,18.5,9.73,22.88,118,2,0,0.61,23.28,50.44,1.44,320.53,146.1,26.8,33,16,1013.4,45,3.5,8.5,18.3
80.33,8.24,29.39,22.22,13.02,29.95,165,2,0,0.62,23.28,50.78,1.23,309.27,160.24,24.6,34.2,17.5,1012.6,52,4,10.2,14.8
168.65,30.53,35.48,43.3,11.5,16.39,337,4,0.12,6.85,27.77,43.39,0.62,188.57,152.18,27.6,35,16.4,1008.5,55,3.4,5.4,11.1
172.46,10.37,31.69,25.15,11.23,19.13,340,4,0.6,2.8,30.87,30.17,0.84,169.6,156.22,29.1,37,17.8,1005.9,47,3.5,3,9.4
269.79,19.08,28.15,30.24,9.88,18.55,500,4,0.17,2.28,29.42,31.95,1.25,230.29,143.32,31.6,40,20.6,1002.2,39,3.5,6.5,18.3
136.33,4.8,20.04,14.48,10.23,32.99,312,4,0,0.09,27.63,29.44,1.83,309.24,177.4,31.2,40.1,19,999.9,34,2.6,14.1,27.8
145.87,3.43,24.21,15.61,14.23,26.25,319,4,0,0.2,26.37,17.09,1.75,314.96,176.75,29.2,37.9,20,1001,30,4,15.2,24.1
110.21,5.58,32.04,21.49,17.8,26.06,265,3,0,1.39,25.86,16.99,1.18,312.13,175.5,28.4,34.6,18.4,1002.6,26,3.4,13.7,24.1
97.59,6.29,36.65,24.5,14.45,24.53,221,3,0,3.16,26.88,12.58,0.82,162.75,169.86,26.8,34.2,16.2,1006.6,31,3.7,7.8,14.8
120.79,24.13,39.5,40.31,17.03,18.79,300,3,0,4.35,27.5,18.27,0.84,210.45,173.17,25.8,35,11.7,1008.5,27,3.7,4.8,18.3
127.27,14.34,46.44,36.15,14.21,28.59,305,4,0.05,4.51,29.64,18.87,0.67,130.7,143.77,28.3,37,14,1008.7,27,3.4,7.8,18.3
164.25,10.27,53.96,36.86,15.48,46.17,334,4,1.63,6.87,30.96,24.59,0.57,124.3,131.12,30.9,39,18.5,1005.7,33,3.2,6.3,14.8
140.94,4.57,31.8,20.55,10.79,44.38,315,4,0,0.04,29.92,31.1,1.35,182.53,147.02,30.2,38.8,20.4,1005,42,1.9,4.8,9.4
98.92,4.65,27.31,18.25,12.01,40.6,224,3,0,0.36,28.05,23.87,1.25,276.47,174.69,28.7,38.2,21.7,1008.3,40,1.9,6.3,11.1
109.7,9.16,36.68,27,16.51,36.04,262,3,0.15,0.9,28.53,15.6,1.12,218.62,178.01,26.7,36.9,18.4,1008,37,2.7,7.2,18.3
112.19,16.52,40.22,34.6,15.94,33.8,272,3,0.5,1.15,29.12,15.85,0.81,214.5,169.19,26.1,36.4,14.3,1008.7,36,2.9,4.4,11.1
111.67,8.49,38.84,27.44,17.66,37.2,269,3,0.5,0.86,30.33,15.58,0.88,260.71,167.68,27.4,37,17.1,1010,35,3.2,5.9,14.8
133.47,17.19,45.16,37.77,20.43,34.92,310,4,0.5,0.75,30.41,18.79,0.65,236.94,152.29,28.2,38.8,16,1009.8,36,3.5,6.7,16.5
136.09,15.73,39.45,33.56,18.02,33.86,312,4,0.5,1.63,31.36,20.12,0.93,213.13,162.72,30.4,39,18.3,1010.4,35,2.7,5.2,13
122.35,9.6,38.86,28.35,18.44,36.31,301,4,0.5,0.5,31.96,19.18,1.04,282.35,160.18,30.2,39.4,19.4,1008.4,36,2.7,9.3,16.5
132.1,10.13,38.83,28.76,18.77,35.15,309,4,0.5,0.28,31.96,17.71,0.94,278.83,152.06,31.1,40.2,20.6,1007,37,3.1,8.3,14.8
174.01,12.05,41.67,31.8,18,32.49,341,4,0.5,0.8,30.32,23.53,0.96,210.92,128.45,31.8,40.4,21.5,1005.9,34,3.5,9.6,20.6
57.93,10.37,21.28,19.61,8.44,24.89,95,1,0.5,0.21,26.05,49.8,1.22,226.36,184.57,29.8,40.5,20.2,1006.4,44,2.4,6.7,27.8
82.85,8.58,23.28,19.24,10.89,35.88,172,2,0.5,0.43,28.8,34.8,0.7,211.69,172.47,27.4,40,18.2,1009.3,53,2.7,9.4,22.2
125.59,6.85,31.78,22.38,17.38,35.93,304,4,0.5,0.22,30.17,27.41,0.85,244.11,177.65,28,35.4,18.3,1009.7,51,3.1,4.6,14.8
117.77,5.34,32.72,21.67,17.13,40.14,289,3,0.5,0.81,29.49,22.5,1.05,128.21,91.29,29.1,37.2,18.5,1005.5,46,2.7,4.8,13
55.39,5.3,17.64,13.62,10.91,34.14,91,1,0.5,0.01,25.43,45.84,1.41,252.22,178.15,28.3,37.8,19.5,1005.2,44,2.7,11.1,22.2
68.6,4.86,20.09,14.56,10.8,43.49,124,2,0.5,0.04,26.78,41.83,0.98,172.03,179.96,26.9,33.8,19.2,1007.9,53,3.4,9.3,14.8
61.93,3.72,20.64,13.96,9.94,46.47,101,2,0.5,0,27.12,39.69,1.71,100.71,141.35,27.3,33.2,21.4,1009.7,55,3.1,7.2,11.1
64.29,4.72,20.21,14.51,10.37,40.74,111,2,0.5,0.04,26.29,35.31,1.52,245.49,201.15,26.5,34,22,1008.3,55,2.6,13.5,22.2
107.76,3.68,27.12,17.34,13.85,44.79,255,3,0.5,0.38,28.83,24.26,1.14,294.18,198.21,26.6,33.6,16.4,1009.1,43,3.2,5.6,11.1
139.63,23.05,41.15,40.32,16.89,42.5,314,4,0.53,0.58,29.38,23.42,0.63,228.65,180.91,28.1,36.8,18,1008.2,46,2.7,5.6,14.8
165.07,27.03,45.31,45.72,19.47,41.69,334,4,0.5,0.84,31.5,24.36,0.65,219.04,167.42,29.8,39.8,16.7,1006.2,40,3.1,5,14.8
183.54,21.26,46.37,41.67,23.32,37.38,348,4,0.5,0.77,32.91,22.04,0.72,233.93,157.6,31.3,41.4,19.6,1005.6,42,2.6,4.4,11.1
204.09,11.17,38.18,29.24,22.12,38.8,364,4,0.51,0.58,34.14,18.89,0.88,233.91,156.24,34.3,41.6,22.3,1005.8,35,2.3,7.8,14.8
125.62,6.93,33.28,23.24,17.09,42.34,304,4,0.5,0.21,32.96,23.51,0.63,125.25,146.13,34.1,42.2,23.2,1005.8,34,1.9,7.2,11.1
71.08,4.34,23.99,16.2,12.75,55.55,135,2,0.5,0.01,33.83,22.6,1.04,136.43,144.19,32.3,42.1,23.2,1006,40,1.9,4.3,11.1
50.57,6.25,24.62,18.09,10.92,35.7,83,1,0.5,0.07,32.38,26.09,0.97,203.16,133.97,34.6,41,28.2,1005.8,33,2.3,7,11.1
118.24,6.63,21.32,16.64,13.92,29.8,293,3,0.5,0,32.06,28.76,0.9,244.37,168.43,31.8,41.5,24.8,1005.6,43,2.3,3.9,16.5
144.5,7.21,26.38,19.79,15.91,28.87,318,4,0.5,0.22,33.48,24.15,0.66,228.33,146.34,31.9,39.5,24.3,1003.9,42,2.4,6.7,14.8
91.84,5.15,21.52,15.56,13.23,45.43,201,3,0.5,0.01,32.46,31.88,1.09,134.22,163.69,33.4,40.6,24.7,1003,39,2.7,6.3,11.1
63.25,4.58,18.61,13.55,10.55,52.15,107,2,0.5,0,30.91,44.88,1.45,143.6,134.21,33.3,41.6,24,1004,47,1.9,6.9,13
30.07,6.38,18.94,15.17,9.25,39.87,50,1,0.5,0.07,27.59,51.28,0.93,108.98,173.91,28.9,40.5,23,1006.9,58,2.3,8.5,14.8
27.92,6.62,21.89,16.91,12.19,45.87,45,1,0.5,0.47,31.53,38.39,0.76,159.42,180.57,28.7,39.8,21.7,1007.8,55,3.1,5.9,11.1
86.82,3.33,20.37,13.48,9.89,51.36,186,2,0.5,0.12,32.03,35.36,1.23,148.56,155.11,31.5,38.4,22.3,1006.1,43,3.1,4.3,7.6
66.21,4.03,20.65,14.19,9.55,50.7,118,2,0.5,0.02,30.31,39.05,1.37,132.3,142.4,31.5,39,23.2,1004.3,46,2.7,5,13
60.09,4.31,18.9,13.49,9.08,45.61,100,1,0.5,0,32.46,37.17,0.96,157.57,181.57,31.4,39.4,24.5,1003.3,43,3.1,9.8,14.8
61.71,3.76,16.67,11.85,9.51,43.01,101,2,0.5,0,30.95,36.39,1.43,177.39,175.36,32.3,39.4,24.2,1001.6,41,2.7,8.3,18.3
46.39,4.49,17.56,12.92,7.42,39,77,1,0.5,0,28.17,49.53,1.41,121.07,157.19,31.1,40.4,23.5,999.8,44,3.1,6.5,14.8
