PM2.5 (ug/m3),NO (mg/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),Ozone (ug/m3),Air_Quality_Index(AQI),AQI Category,Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),T,TM,Tm,SLP,H,VV,V,VM
66.97,4.83,23.63,19.34,3.71,49.47,118,2,1.37,1.55,35.07,44.74,0.92,235.46,130.83,31.9,37.8,25,1001.8,61,1.9,4.3,9.4
70,5.69,21,18.65,3.42,25.3,131,2,1.32,1.49,32.03,43.24,0.95,256.26,116.99,33.8,38.9,27,1001.1,54,1.9,7,13
109.45,5.24,16.15,15.75,2.89,25.66,262,3,1.12,1.26,35.14,44.78,1.46,272.05,175.38,33.4,39.8,27.6,999.7,54,1.9,13,25.9
124.08,5.91,18.58,17.56,3.15,12.47,303,4,1.25,1.4,33.03,43.74,1.03,248.24,101.7,34.1,39.8,26.6,997.8,60,1.9,16.9,27.8
79.36,9.54,30.17,26.53,4.43,10.98,162,2,1.88,2.12,30.19,42.33,1.06,177.12,93.28,35.3,38.4,31.2,995.3,56,1.8,13.5,25.9
56.96,5.69,24.68,20.58,3.82,24.36,93,1,1.46,1.65,26.63,40.57,0.91,140.37,101.98,27.8,38.4,25.6,997.9,85,1.9,9.3,13
70.02,5.03,29.34,22.49,4.34,20.32,131,2,1.6,1.8,31.66,43.05,0.8,152.73,294.52,28.3,33.6,23.3,998.4,87,1.9,1.7,7.6
65.51,80.88,5.5,2.63,10.05,110.97,114,2,0.46,0.91,25.95,66.48,0.38,206.75,100.71,22.1,28.8,15.3,1016.8,69,1.9,1.9,3.5
275.97,0.33,8.93,4.86,5.42,53.92,500,4,2.42,5.16,20.63,64.76,0.27,154.4,65.05,22.4,29.7,15.9,1016.8,71,2.7,1.5,5.4
351.54,0.26,9.1,4.85,4.02,57.18,500,4,3.17,6.75,21.35,65.29,0.25,150.83,62.51,22.3,29.8,15.6,1016,73,1.6,1.1,5.4
204.84,5.18,15.23,9.29,3.35,70.51,364,4,1.76,3.75,22.42,66.08,0.28,146.11,64.21,22.9,31.4,16.2,1016.1,73,1.4,0.9,3.5
148.41,42.36,77.07,77.23,5.58,34.52,321,4,1.34,2.85,26.46,65.47,0.23,329.65,46.52,23.4,31.8,17.3,1015.8,75,1.6,0.4,3.5
344.59,12.44,28.11,30.76,28.49,33,500,4,3.4,7.24,21.98,36.35,0.1,138.4,62.4,23.9,31.8,18.6,1014.2,73,1.8,0.4,1.9
230.28,15.13,43.1,37.32,5.69,16.57,384,4,1.52,3.24,21.75,68.39,0.22,163.82,66.72,23.8,31.9,17.5,1012.2,72,1.6,0.9,3.5
185.24,10.51,28.61,35.25,16.12,6.99,350,4,1.04,2.21,21.72,67.86,0.1,170.03,65.77,22.2,31.9,19.6,1012.4,79,1.9,5,9.4
369.9,14.12,42.02,33.21,18.93,8.05,500,4,1.97,4.21,17.87,75.78,0.15,194.92,48.32,23,30.2,17.4,1012.4,79,1.4,2.2,7.6
144.34,3.99,72.35,40.76,8.77,18.22,318,4,0.77,1.64,17.42,30.2,0.09,151.18,61.75,21.9,30.2,16.1,1014.8,79,0.5,1.1,7.6
268.26,27.72,85.72,67.06,13.04,25.47,500,4,1.47,3.12,16.37,31.01,0.05,200.55,62.47,21.9,29,17.1,1016,75,1.1,1.9,5.4
117.9,145.56,66.17,142.99,11.06,20.33,289,3,6.94,16.65,22.19,63.64,0.07,178.13,60.5,22.1,29.8,16.1,1015,77,1.3,0.7,3.5
87.73,14.1,39.83,31.04,11.14,14.49,189,2,0.78,2.82,22.13,57.52,0.11,148.02,64.78,22.7,29.8,16,1013.4,77,1,0.7,5.4
121.88,6.37,32.18,21.3,31.1,19.51,301,4,0.84,2.44,21.67,53.66,0.1,121.22,63.99,21.8,29.4,15.4,1014.4,64,1.4,4.6,13
130.23,6.35,36.61,23.6,14.92,18.57,307,4,0.94,2.7,21.73,58.17,0.08,157.98,62.31,21.9,29.3,16.5,1015.2,65,1.6,5.7,16.5
117.47,13.27,30.98,27.55,15.89,11.12,289,3,1.09,3.15,22.4,59.25,0.07,163.16,62.43,22.3,29.3,16.1,1014.9,64,0.8,5.4,18.3
109.53,38.33,27.32,45.11,12.12,20.36,262,3,1.79,5.16,20.77,42.88,0.09,143.18,64.4,21.9,32,16,1012.4,56,1.9,2.8,7.6
124.77,57.2,34.16,64.49,12.54,18.58,303,4,2.56,7.38,18.2,48.46,0.08,206.71,63.51,19.9,29.2,13.9,1013.5,55,2.4,5,14.8
147.26,111.1,44.68,113.14,14.6,19.45,320,4,4.64,13.38,17.95,56.12,0.05,227.28,60.48,18.6,28.6,11,1016.4,62,1.4,4.4,11.1
156.18,134.97,48.24,134.08,18.65,21.35,327,4,5.32,15.34,17.96,61.79,0.08,234.82,59.8,18.5,27.7,11.5,1017.6,68,1.3,0.9,7.6
154.95,131.31,47.69,130.87,20.85,19.29,326,4,5.19,14.97,17.79,65.63,0.17,234.05,62.53,18.6,27.7,11.4,1016.4,69,1.1,0.4,3.5
144.41,166.31,43.29,156.6,17.76,24.33,318,4,6.21,17.91,17.93,63.9,0.22,230.5,63.83,18.8,28.5,11.5,1015.4,69,0.8,1.3,3.5
150.45,45.05,45.67,60.48,9.74,57.46,323,4,2.4,6.92,17.71,63.68,0.17,234.14,60.91,18.7,29.2,11.8,1015.1,68,1.3,0.4,3.5
141.92,26.3,41.85,43.89,11.57,14.43,316,4,1.74,5.02,18.62,54.66,0.08,165.25,58.49,18.5,29.3,11.1,1016.1,66,1,1.7,13
155.31,53.39,47.85,68.69,12.33,8.7,327,4,2.72,7.86,18.89,53.26,0.07,250.71,56.05,19.3,28,13,1014.7,61,1.9,5.7,18.3
146.14,38.85,43.74,54.87,12.98,10.28,320,4,2.18,6.28,17.72,58.06,0.02,167.22,52.77,20,29.1,11.9,1012.6,64,1.4,0.9,7.6
126.04,34.15,34.72,46.43,14.15,9.2,304,4,1.84,5.31,18.32,81.05,0.23,189.3,59.64,18.4,29.1,13.5,1011.4,71,1.3,2.6,7.6
149.71,16.96,45.49,38.33,14.85,8.11,322,4,1.52,4.39,18.97,74.45,0.23,217.77,59.68,19.1,24.5,14.7,1015.7,84,0.5,1.3,5.4
140.03,169.29,41.32,157.95,23.18,26.19,315,4,6.26,18.07,20.74,76.07,0.24,218,60.22,18.2,24.5,12.2,1018.1,85,0.3,1.1,5.4
126.68,39.71,35.1,51.35,14.59,43.62,304,4,2.06,5.95,19.35,75.3,0.24,174.22,57.14,19.7,28,14,1016.7,84,0.5,0.9,7.6
102.25,31.62,24.06,38.81,20.96,15.84,238,3,1.54,4.44,18.46,69.13,0.19,177.81,56.18,19.3,28,13.8,1014.7,81,0.6,1.7,7.6
98.3,28.29,22.29,35.16,20.17,10.08,224,3,1.39,4.02,17.09,68.85,0.2,160.15,57.7,17.9,26.2,13.5,1016.2,75,0.8,2,11.1
95.77,13.55,20.21,22.35,15.71,16.37,214,3,0.93,2.68,17.53,67.39,0.22,175.93,59.19,17.6,24.6,11.2,1016.1,75,0.8,7,18.3
117.46,101.98,30.88,98.67,31.14,18.73,289,3,3.91,11.29,17.2,66.87,0.25,219.45,60.57,17.7,26.7,12.4,1014.9,71,1.3,4.6,14.8
128.38,145.42,35.85,136.02,31.64,16.68,306,4,5.39,15.56,17.61,70.99,0.23,256.31,60.3,17.4,27.6,10.1,1015.8,74,1,0.9,7.6
115.68,16.98,30.08,30.2,22.7,14.42,282,3,1.2,3.46,18.58,72.45,0.26,254.34,62.03,17.2,27.6,10.5,1016.4,78,0.6,1.5,9.4
120.03,37.26,32.03,47.53,23.61,16.28,300,3,1.89,5.44,18.46,72.05,0.25,179.96,58.93,17.8,26.2,11,1017.1,79,0.6,2,7.6
133.7,45.08,38.16,57.02,26.98,14.52,310,4,2.26,6.52,18.37,72.79,0.21,263.14,51.85,20.2,27,12,1015.8,68,1,1.3,5.4
104.77,13.33,25.19,24.82,21.28,15.36,245,3,0.98,2.84,19.5,68.86,0.16,266.54,54.19,19.2,26.9,11.6,1015.4,78,1,4.8,14.8
98.72,15.19,22.48,24.89,22.6,10.24,224,3,0.99,2.85,18.12,71.55,0.1,177.73,52.6,20.1,25.5,13.7,1011.7,74,1,3.7,9.4
72.13,11.3,10.55,15.54,20.49,1.67,138,2,0.62,1.78,13.49,89.06,0.23,134.39,48.97,18.3,25.5,13.4,1011.3,76,1,6.3,18.3
73.75,23.93,11.28,25.99,20.18,12.26,141,2,1.03,2.97,12.81,71.55,0.28,175.71,61.5,13.7,22.2,10.8,1014.3,91,0.5,6.5,14.8
96.61,51.55,22.02,53.71,24.6,21.07,218,3,2.13,6.14,15.17,50.52,0.15,137.81,62.09,14.8,21,6.8,1016.4,63,2.4,5.4,13
147.6,5.49,57.02,28.36,8.21,3.25,320,4,0.6,3.47,36.51,38.94,0.72,91.87,279.98,32.9,39,27.4,996.6,50,2.4,9.4,27.8
149.62,10.96,23.95,21.91,9.76,16.13,322,4,3.84,6.05,32.99,50.82,0.63,201.21,230.32,34.6,39,26,998.4,49,2.4,6.7,16.5
127.25,4.81,13.94,11.76,5.5,2.3,305,4,1.71,62.72,35.56,54.1,0.3,292.94,401.03,37.4,41,30.6,998.8,31,1.9,14.1,27.8
121.23,19.73,32.28,33.3,3.93,5.03,301,4,2.53,37.4,34.39,57,0.06,138.56,98.9,36.4,41.2,25.7,998.3,39,2.1,15,24.1
318.57,6.92,18.87,17.83,7.72,7.38,500,4,3.57,10.08,27.57,90.37,0.46,150.06,442.47,31.5,41.5,24,1000.3,60,2.6,11.7,18.3
425.98,22.55,13.4,25.7,0.45,3.42,500,4,3.39,11.3,22.41,33.15,0.21,203.49,113.8,26.9,36.7,23,1002.6,76,2.1,9.4,22.2
70.18,5.43,24.38,18.79,9.94,4.07,131,2,1.07,3.6,33.27,48.66,0.34,234.82,156.49,32.7,37.5,24.7,1002.3,55,2.4,7.4,18.3
41.62,6.2,16.29,14.31,10.67,0.8,68,1,1.47,3.71,33.3,57.96,0.28,294.71,409.32,36,40,26.6,1001.7,46,3.1,9.1,22.2
95.86,3.36,2.55,4.59,4.33,33.93,214,3,1.84,4.48,44.53,65.94,0.44,296.36,518.29,32.6,40.7,26,996.9,59,2.6,11.9,29.4
107.84,3.75,8.17,7.81,5.39,25.2,255,3,2.63,4.22,30.95,49.13,1.25,132.23,316.11,34.7,38,30.5,995.4,55,2.4,10.4,18.3
